Date,SPY,QQQ,SPY_daily_returns,SPY_10_day_returns,SPY_21_day_returns,SPY_rolling_std,SPY_ts_mom,QQQ_daily_returns,QQQ_10_day_returns,QQQ_21_day_returns,QQQ_rolling_std,QQQ_ts_mom
2021/2/11,384.3737,332.5653,0.001615097592493564,0.03463714429222908,0.031523186841114326,0.010143847760562024,3.107616319289848,0.00549968359434394,0.041267422932378395,0.06581296588113239,0.012693272458386095,5.184869866844431
2021/2/12,386.2724,334.424,0.004939724023782066,0.06098853951620087,0.03383446974928184,0.010168564184084619,3.327359609160754,0.005588977563203423,0.06958931869107521,0.0645804424758758,0.012679129642371958,5.093444447484517
2021/2/16,385.9379,333.5195,-0.0008659691968672112,0.04271327390352275,0.036569113220155325,0.010118125784334804,3.6142180873826217,-0.002704650383943741,0.04069227732905634,0.06740893389844538,0.012604394976165062,5.3480499481264925
2021/2/17,386.0265,331.9192,0.00022957061226680509,0.028410692392574433,0.04442393016800805,0.009912645827324531,4.481541148736702,-0.004798220194021652,0.01907359625282612,0.07076892504438148,0.012484640735761885,5.668479097012859
2021/2/18,384.3835,330.468,-0.004256184484743852,0.023228878227874672,0.031876251143260204,0.009914643727558431,3.2150677340687475,-0.004372148402382203,0.018659456140383446,0.050756952121860266,0.01231454161216313,4.121708604380969
2021/2/19,383.7047,329.0267,-0.0017659446880524676,0.00994322593550856,0.015994098462576378,0.0095240661485991,1.6793350878740967,-0.004361390512848451,0.0023619091952082893,0.02239230328468933,0.011421405835776157,1.960555785046021
2021/2/22,380.7534,320.4984,-0.007691591997700309,-0.0017539609629638742,0.007261210459232892,0.009702358210506171,0.7483964518409669,-0.025919780978261087,-0.02691939968065804,-0.012011289946694537,0.012723660909444797,-0.9440121072213213
2021/2/23,381.2158,319.5441,0.0012144343294111515,-0.007707647180244304,0.01206650796040143,0.009661476093568667,1.2489300644684838,-0.002977549965928028,-0.03627334452650155,-0.012107509914660253,0.012724587764818954,-0.9515050812204068
2021/2/24,385.4165,322.1782,0.011019217986242946,0.003894809664066523,0.01919920921566276,0.009903664200295422,1.9385965464267312,0.008243306635922876,-0.02812504430595686,-0.012129975942418825,0.012723798681372373,-0.9533297599385234
2021/2/25,376.1296,310.9462,-0.02409575096032479,-0.01986768082356949,-0.003804104131225894,0.011310584666772372,-0.3363313430119476,-0.03486269399978037,-0.05986491761207924,-0.04796251691230535,0.014750852313946142,-3.2515081767145997
2021/2/26,374.1915,312.2483,-0.005152745223986566,-0.026490366016197142,0.015891653861399124,0.009936595956781927,1.599305630471243,0.00418754112447739,-0.0610917615277361,-0.016560920800046786,0.013576533341779252,-1.2198195506273783
2021/3/1,383.262,321.6414,0.024240262004882496,-0.00779346388714286,0.03164472802308871,0.011071868081737764,2.85812003805251,0.030082149366385647,-0.038222735210391656,0.007064512402112477,0.015104150891510874,0.4677199302930038
2021/3/2,380.2713,316.4827,-0.007803278175243067,-0.014682673041440109,0.04450509849248108,0.010166178260360044,4.3777609788739715,-0.01603866915142127,-0.05108187077517201,0.012207603134081202,0.014784630453972812,0.825695520228635
2021/3/3,375.2344,307.2983,-0.013245543379161173,-0.02795688897005777,0.013794938784773558,0.01012391862993455,1.3626086191550852,-0.029020227645934593,-0.0741773901600149,-0.04112662783930909,0.015040481158944876,-2.734395755341262
2021/3/4,370.5909,302.2688,-0.012374931509477882,-0.0358823934950383,-0.012711189352577312,0.01001694989774513,-1.268968047393216,-0.01636683313900522,-0.08533110618879902,-0.07196042575715333,0.014750749967563656,-4.878424887913605
2021/3/5,377.4085,306.8212,0.018396566132627745,-0.016408972837705704,0.004661428205593676,0.010838816813688574,0.4300679941104511,0.015060767105304906,-0.0674884439469503,-0.0542312214061883,0.015291608908752745,-3.546469291085973
2021/3/8,375.5295,298.1339,-0.00497869019908137,-0.01371990374872556,-0.011574591961087344,0.010586675683519748,-1.093316949257781,-0.028313884438233017,-0.0697803795588372,-0.09175132230966876,0.015902613619453082,-5.76957502114198
2021/3/9,380.8911,309.8926,0.01427744025436084,-0.0008517485371802858,-0.001392943885833664,0.011034434812711814,-0.12623608816184897,0.039441002851403395,-0.030203968716681073,-0.05912017893842303,0.018521582467701532,-3.1919615422450267
2021/3/10,383.262,309.008,0.006224613806938617,-0.005590056471375782,-0.002381455001589039,0.011003872830690679,-0.2164197131528975,-0.0028545373461645873,-0.04087861934792614,-0.06804961708085111,0.018395174683792433,-3.699318883924928
2021/3/11,387.148,316.1249,0.010139278091749304,0.02929415818377512,0.008404849745208276,0.011224340053620194,0.748805694148357,0.02303144255164935,0.016654649582468206,-0.046385282488747404,0.019262111464821815,-2.4081099610216845
2021/3/12,387.6694,313.5604,0.0013467717772013277,0.036018723033526934,0.010203153635702567,0.011223978746448787,0.9090496219026426,-0.00811229991689999,0.00420210454308334,-0.051960974317777686,0.019307093467523025,-2.691289313183397
2021/3/15,389.9813,316.9101,0.005963586499218021,0.01753187114819621,0.014588927390193351,0.011284686584814699,1.2928074945231551,0.01068279030132624,-0.014709860111291606,-0.04707406334936326,0.019445232842597845,-2.42085367300103
2021/3/16,389.4894,318.6496,-0.0012613425310392667,0.024240851202812275,0.008328319600364953,0.011250666715883272,0.7402512056114275,0.005488938345606487,0.0068468197471773795,-0.04716886347869753,0.01944326364613166,-2.4259745862203554
2021/3/17,390.8175,319.9616,0.003409848894475598,0.04152897495538799,0.012643484871529775,0.011264243561691359,1.12244420162656,0.004117375323866579,0.04120849350614697,-0.04065099641850034,0.019489912894856767,-2.0857454129119177
2021/3/18,385.1312,310.161,-0.014549757879317116,0.03923544803717527,-0.00231927082726191,0.01174389076024738,-0.19748743194313018,-0.030630550666079892,0.026109873066621603,-0.06555270077777964,0.020479143084166405,-3.20094940048845
2021/3/19,384.4184,311.2544,-0.0018507978579765938,0.01857377351066547,9.079474014872524e-05,0.011712451554279812,0.00775198426460498,0.0035252659102851247,0.014448806014708326,-0.05814057639468884,0.02052559971129982,-2.832588436511363
2021/3/22,387.488,317.0911,0.00798504962301494,0.03184436908418653,0.009859926135906028,0.011828752671923083,0.8335558625136956,0.018752184708071606,0.06358619398867416,-0.03627547551612076,0.021042308363625792,-1.7239304210001676
2021/3/23,384.4381,315.7077,-0.007870953423073646,0.009312373011603592,0.00967739224390396,0.011835052003762938,0.8176890343047961,-0.004362784070571446,0.018764888222564835,-0.014947656524962438,0.020306817360384668,-0.7360905581454094
